id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43653614,"The 820-Unit 101 Close to FQ, CBD & Hospitals",347799659,The 820,,Central Business District,29.951403,-90.072075,Entire home/apt,65,30,12,2024-06-17,0.30,7,301,4,
741812297308815255,Apartment in the Esplande Ridge Historic District,484363996,Jason,,Seventh Ward,29.9748267,-90.06779739999999,Entire home/apt,,1,181,2024-05-31,8.02,2,0,72,"22RSTR-35546, 22OSTR-83242"
757152578170546531,Compact Studio for the Solo Traveler,158907701,Mona,,Audubon,29.9262693366037,-90.13164175473753,Entire home/apt,,2,1,2022-11-14,0.05,3,0,0,"22-RSTR-05312, 19-OSTR-27123"
18993220,Degas House! Desiree Room -  on Esplanade Ave,130923573,Em,,Treme - Lafitte,29.97244,-90.07495,Private room,,30,3,2019-01-01,0.04,7,0,0,Exempt
954906284411591950,1BR Condo in Vibrant New Orleans,442915263,Hosteeva California Building,,Central Business District,29.9545479,-90.0743526,Entire home/apt,94,1,41,2024-08-25,3.37,71,232,41,24-XSTR-08058
32582402,#1009 Ritzy Studio,583542036,Shilo,,Central Business District,29.953888,-90.072411,Entire home/apt,92,2,219,2024-08-06,3.30,11,3,27,23-xstr-21621
41804195,Excellent location. close to everything,65665251,Jeanette,,Seventh Ward,29.98482,-90.06373,Private room,425,30,0,,,5,361,0,"24-NSTR-09999, 24-OSTR-09999"
760907037616779283,Adorable 2 bedroom Garden District guesthouse!,106289693,Vello,,Lower Garden District,29.93343,-90.07225,Entire home/apt,,30,5,2024-01-27,0.26,72,0,2,
758818571374124482,Cozy Nola Unit 7 min from Downtown,345814462,B,,Seventh Ward,29.98004,-90.06525,Entire home/apt,,2,9,2023-07-02,0.42,1,0,0,"22-rstr-07222, 22-ostr-20600"
706755064381670730,Prytania Haus: A Quintessential NOLA Experience,477762297,Chad,,Central City,29.9391825,-90.07327149999999,Entire home/apt,,30,2,2024-06-30,0.09,1,90,1,"00RSTR-12345, 00OSTR-12345"
47802077,5B/5.1B Penthouse with Large Private Balcony,293742020,New Orleans Luxury,,Central Business District,29.9449,-90.06702,Entire home/apt,694,3,10,2023-07-16,0.32,41,274,0,"20STR-14906, 20-OSTR-00330"
